,index,Feature Name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Final
0,0,Intercept,-1.37405,,Intercept,313.0,313.0
1,1,grade:A,1.12366,0.0,grade,87.0,87.0
2,2,grade:B,0.87892,0.0,grade,68.0,68.0
3,3,grade:C,0.6848,0.0,grade,53.0,53.0
4,4,grade:D,0.49692,0.0,grade,38.0,38.0
5,5,grade:E,0.32149,0.0,grade,25.0,25.0
6,6,grade:F,0.13428,0.00624,grade,10.0,10.0
7,7,home_ownership:OWN,0.09351,0.0,home_ownership,7.0,7.0
8,8,home_ownership:MORTGAGE,0.10625,0.0,home_ownership,8.0,8.0
9,9,addr_state:NM_VA,0.03602,0.26084,addr_state,3.0,3.0
10,10,addr_state:NY,0.05556,0.02183,addr_state,4.0,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.058,0.01226,addr_state,4.0,4.0
12,12,addr_state:CA,0.06215,0.00337,addr_state,5.0,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07646,0.00215,addr_state,6.0,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.13344,0.0,addr_state,10.0,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.09789,0.00103,addr_state,8.0,8.0
16,16,addr_state:GA_WA_OR,0.18376,0.0,addr_state,14.0,14.0
17,17,addr_state:WI_MT,0.23792,0.0,addr_state,18.0,18.0
18,18,addr_state:TX,0.22096,0.0,addr_state,17.0,17.0
19,19,addr_state:IL_CT,0.2599,0.0,addr_state,20.0,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.31857,0.0,addr_state,25.0,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.52196,0.0,addr_state,40.0,40.0
22,22,verification_status:Not Verified,0.08572,0.0,verification_status,7.0,7.0
23,23,verification_status:Source Verified,-0.01118,0.40502,verification_status,-1.0,-1.0
24,24,purpose:credit_card,0.30185,0.0,purpose,23.0,23.0
25,25,purpose:debt_consolidation,0.19808,0.0,purpose,15.0,15.0
26,26,purpose:oth__med__vacation,0.21283,0.0,purpose,16.0,16.0
27,27,purpose:major_purch__car__home_impr,0.26626,0.0,purpose,21.0,21.0
28,28,initial_list_status:w,0.05383,4e-05,initial_list_status,4.0,4.0
29,29,term:36,0.07894,0.0,term,6.0,6.0
30,30,emp_length:1,0.09916,0.00013,emp_length,8.0,8.0
31,31,emp_length:2-4,0.12585,0.0,emp_length,10.0,10.0
32,32,emp_length:5-6,0.09109,2e-05,emp_length,7.0,7.0
33,33,emp_length:7-9,0.06114,0.00329,emp_length,5.0,5.0
34,34,emp_length:10,0.12504,0.0,emp_length,10.0,10.0
35,35,mths_since_issue_d:<38,1.0842,0.0,mths_since_issue_d,84.0,84.0
36,36,mths_since_issue_d:38-39,0.87919,0.0,mths_since_issue_d,68.0,68.0
